game,algo1,algo2,winner,nb_move
connect4,Alphabeta_2,MCTS_0.7,Alphabeta,7
connect4,Minimax_1,Minimax_4,Minimax,24
connect4,Alphabeta_2,MCTS_0.7,Alphabeta,17
connect4,Alphabeta_2,MCTS_0.8,Alphabeta,13
connect4,Alphabeta_2,MCTS_0.8,Alphabeta,11
connect4,Alphabeta_2,MCTS_0.8,Alphabeta,11
connect4,Alphabeta_2,MCTS_0.9,Alphabeta,7
connect4,Alphabeta_2,Alphabeta_5,Alphabeta,26
connect4,Alphabeta_2,MCTS_0.9,Alphabeta,11
connect4,Alphabeta_2,MCTS_0.9,Alphabeta,13
connect4,Alphabeta_2,MCTS_0.7,Alphabeta,31
connect4,Alphabeta_2,MCTS_1.0,MCTS,8
connect4,Alphabeta_2,MCTS_1.0,Alphabeta,13
connect4,Alphabeta_2,MCTS_1.0,Alphabeta,17
connect4,Minimax_2,Alphabeta_1,Minimax,33
connect4,Minimax_2,Alphabeta_1,Minimax,25
connect4,Minimax_2,Minimax_1,Minimax,21
connect4,Minimax_2,Alphabeta_1,Minimax,21
connect4,Minimax_2,Minimax_1,Minimax,21
connect4,Minimax_2,MCTS_0.1,Minimax,9
connect4,Minimax_2,MCTS_0.1,Minimax,9
connect4,Minimax_2,MCTS_0.1,Minimax,7
connect4,Minimax_2,Minimax_1,Minimax,21
connect4,Minimax_2,Alphabeta_2,Minimax,9
connect4,Minimax_2,MCTS_0.2,Minimax,11
connect4,Minimax_2,Alphabeta_2,Minimax,9
connect4,Minimax_2,Alphabeta_2,Minimax,29
connect4,Minimax_2,MCTS_0.2,Minimax,21
connect4,Minimax_2,Alphabeta_3,Alphabeta,38
connect4,Minimax_2,MCTS_0.2,Minimax,17
connect4,Minimax_2,Alphabeta_3,Minimax,23
connect4,Minimax_2,Alphabeta_3,Alphabeta,38
connect4,Alphabeta_2,Alphabeta_5,draw,42
connect4,Minimax_2,MCTS_0.3,Minimax,11
connect4,Minimax_2,MCTS_0.3,Minimax,11
connect4,Minimax_2,Minimax_3,Minimax,38
connect4,Minimax_2,Alphabeta_4,Minimax,9
connect4,Minimax_2,Minimax_3,Minimax,38
connect4,Alphabeta_2,Alphabeta_5,Alphabeta,33
connect4,Minimax_2,MCTS_0.3,Minimax,27
connect4,Minimax_2,MCTS_0.4,Minimax,9
connect4,Minimax_2,Minimax_3,Minimax,38
connect4,Minimax_2,MCTS_0.4,Minimax,13
connect4,Minimax_2,Alphabeta_4,Alphabeta,36
connect4,Minimax_2,MCTS_0.4,Minimax,15
connect4,Minimax_2,MCTS_0.5,Minimax,23
connect4,Minimax_2,Alphabeta_4,Minimax,25
connect4,Minimax_2,MCTS_0.5,Minimax,9
connect4,Minimax_2,MCTS_0.5,Minimax,15
connect4,Minimax_2,MCTS_0.6,Minimax,13
connect4,Minimax_2,MCTS_0.6,Minimax,19
connect4,Minimax_2,Minimax_4,Minimax,38
connect4,Minimax_2,Minimax_4,Minimax,38
connect4,Minimax_2,MCTS_0.7,Minimax,9
connect4,Minimax_2,Alphabeta_5,Minimax,17
connect4,Minimax_2,Alphabeta_5,Minimax,13
connect4,Minimax_2,MCTS_0.6,Minimax,15
connect4,Minimax_2,MCTS_0.7,Minimax,15
connect4,Minimax_2,MCTS_0.7,Minimax,23
connect4,Minimax_2,MCTS_0.8,Minimax,13
connect4,Minimax_2,MCTS_0.8,Minimax,11
connect4,Minimax_2,MCTS_0.8,Minimax,11
connect4,Minimax_2,MCTS_0.9,Minimax,9
connect4,Minimax_2,MCTS_0.9,Minimax,15
connect4,MCTS_0.2,Alphabeta_1,Alphabeta,10
connect4,Minimax_2,MCTS_1.0,Minimax,9
connect4,MCTS_0.2,Alphabeta_1,Alphabeta,14
connect4,Minimax_2,MCTS_1.0,Minimax,11
connect4,MCTS_0.2,Minimax_1,Minimax,12
connect4,MCTS_0.2,Minimax_1,Minimax,12
connect4,Minimax_2,MCTS_1.0,Minimax,15
connect4,MCTS_0.2,Minimax_1,Minimax,12
connect4,Minimax_2,MCTS_0.9,Minimax,21
connect4,MCTS_0.2,Alphabeta_2,Alphabeta,8
connect4,MCTS_0.2,Alphabeta_1,Alphabeta,34
connect4,MCTS_0.2,Alphabeta_2,Alphabeta,16
connect4,MCTS_0.2,Minimax_2,Minimax,12
connect4,MCTS_0.2,Alphabeta_2,Alphabeta,14
connect4,MCTS_0.2,Minimax_2,Minimax,8
connect4,MCTS_0.2,MCTS_0.1,MCTS,22
connect4,MCTS_0.2,MCTS_0.1,MCTS,26
connect4,Alphabeta_2,Minimax_4,Minimax,28
connect4,MCTS_0.2,MCTS_0.1,MCTS,34
connect4,MCTS_0.2,Minimax_2,Minimax,10
connect4,MCTS_0.2,Alphabeta_3,Alphabeta,14
connect4,MCTS_0.2,Minimax_3,Minimax,8
connect4,MCTS_0.2,Alphabeta_3,Alphabeta,34
connect4,MCTS_0.2,MCTS_0.3,MCTS,16
connect4,MCTS_0.2,Alphabeta_3,Alphabeta,24
connect4,MCTS_0.2,MCTS_0.3,MCTS,20
connect4,MCTS_0.2,MCTS_0.3,MCTS,11
connect4,MCTS_0.2,Alphabeta_4,Alphabeta,12
connect4,MCTS_0.2,Minimax_3,Minimax,16
